Tipo,Pregunta,A,B,C,D,Respuesta,Fuente,Columna 1
alternativa,¿REQUISITOS CON QUE DEBE CUMPLIR UNA ESLINGA DENTRO DE UNA CAJA DE INVIERNO?,6 MTS DE LARGO CON 6 TONELADAS DE TIRO Y SISTEMA DE SUJECIÓN CON GANCHO Y GRILLETES,3 MTS DE LARGO CON 3 TONELADAS DE TIRO Y SISTEMA DE SUJECIÓN CON GANCHO Y GRILLETES,4 MTS DE LARGO CON 4 TONELADAS DE TIRO Y SISTEMA DE SUJECIÓN CON GANCHO Y GRILLETES,5 MTS DE LARGO CON 5 TONELADAS DE TIRO Y SISTEMA DE SUJECIÓN CON GANCHO Y GRILLETES,B,OP_INV,
alternativa,¿VELOCIDAD MÁXIMA AL INTERIOR DE LA MINA?,60 KMS/HR,65 KMS/HR,50 KMS/HR,55 KMS/HR,B,REG_INT_TRANS,
alternativa,"ANTE UN INCIDENTE O INFRACCIÓN DEBIDAMENTE VALIDADO, EN FORMA INMEDIATA, ¿QUÉ PROCEDE?",RETIRO INMEDIATO DE SU LICENCIA INTERNA Y SUSPENSIÓN POR 15 DIAS DE SUS LABORES MIENTRAS DURE LA INVESTIGACIÓN,RETIRO INMEDIATO DE SU LICENCIA INTERNA Y SUSPENSIÓN DE SUS LABORES MIENTRAS DURE LA INVESTIGACIÓN,RETIRO INMEDIATO DE SU LICENCIA INTERNA Y SUSPENSIÓN POR 30 DIAS DE SUS LABORES MIENTRAS DURE LA INVESTIGACIÓN,RETIRO INMEDIATO DE SU LICENCIA INTERNA Y SUSPENSIÓN POR 45 DIASDE SUS LABORES MIENTRAS DURE LA INVESTIGACIÓN,B,REG_INT_TRANS,
alternativa,ÁREA DE CARGUÍO ES AQUELLA DEFINIDA ALREDEDOR DE LA PALA O FRONTAL EN UN RADIO DE ...,"A NINGUNA, ESTÁ PROHIBÍDO",A 50 MTS DE DISTANCIA,A 150 MTS DE DISTANCIA,A 250 MTS DE DISTANCIA,B,REG_INT_TRANS,
alternativa,CADA GERENCIA SERÁ RESPONSABLE DE DEFINIR LAS ACTIVIDADES POSIBLES DE REALIZAR Y LAS QUE SERÁN REPROGRAMADAS POR RIESGO DE TORMENTAS ELÉCTRICAS.,ALERTA 1,ALERTA 2,ALERTA 3,ALERTA 4,B,OP_INV,
alternativa,CADA GERENCIA SERÁ RESPONSIBLE DE DEFINIR LAS ACTIVIDADES POSIBLES DE REALIZAR Y LAS QUE SERÁN REPROGRAMADAS POR RIESGO DE TORMENTA ELÉCTRICA. ¿ESTA ALERTA ES?,ALERTA 1,ALERTA 2,ALERTA 3,ALERTA 4,B,OP_INV,
alternativa,"CUANDO UN VEHÍCULO QUE SUBE Y UN VEHÍCULO QUE BAJA, SE ENFRENTAN EN UNA PENDIENTE ESTRECHA, QUIÉN TIENE LA PREFERENCIA?",EL VEHÍCULO QUE LLEGA PRIMERO,EL VEHÍCULO QUE SUBE,EL VEHÍCULO QUE BAJA,NINGUNA DELAS ANTERIORES,B,REG_INT_TRANS,
alternativa,EJEMPLOS DE UN EQUIPO DE SERVICIO?,"ALJIBES DE ABASTECIMIENTO, ENROLLACABLES, CAMIÓN PLUMA, WHEELDOZER"," CAMABAJA, TAPA HOYOS, GRÚAS EN GENERAL, CAMIONES COMBUSTIBLES Y DE MANTENCIÓN MECÁNICA","WHEELDOZER, BULLDOZER, MOTONIVELADORA, RETROEXCAVADORA","MANIPULADOR DE CABLES, BULLDOZER, TOWN HAUL, RETROEXCAVADORA",B,REG_INT_TRANS,
alternativa,ELEMENTOS DE UNA CAJA DE INVIERNO SERÍAN:,"GUANTES, GATA, TRIANGULOS","GUANTES, SACO ARPILLERO, JUEGO DE HERRAMIENTAS CON CÓDIGO AVRA","TRIANGULOS, SACO ARPILLERO, JUEGO DE HERRAMIENTAS CON CÓDIGO AVRA","TRIANGULOS, GATA, JUEGO DE HERRAMIENTAS CON CÓDIGO AVRA",B,OP_INV,
alternativa,"EN EL CRUCE MINERO DEL ASFALTADO (EL DE LOS DOS DISCO PARE) EN CAMBIO DE TURNO, ¿QUIÉN TIENE LA PREFERENCIA, UN BUS CON PERSONAL ENTRANTE O UN CAEX?",EL BUS EN CAMBIO DE TURNO,EL CAEX,EL QUE LLEGUE PRIMERO,NINGUNO,B,EPF,
alternativa,"EN INVIERNO ALTIPLÁNICO, EN ALERTA 4, SE DEBE:","MANTENERSE DENTRO DE LAS CABINAS DE VEHÍCULOS MENORES O EL AVIÓN A INTERVALOS, SEGÚN EL NÚMERO DE PASAJEROS",MANTENER DENTRO DE LAS CABINAS DE VEHÍCULOS MENORES O EL AVIÓN,MANTENER FUERA DE LAS CABINAS DE VEHÍCULOS MENORES O EL AVIÓN PARA SER RESCATADO,NINGUNA DE LAS ANTERIORES,B,OP_INV,
alternativa,"EN UN CRUCE NO REGULADO, ¿QUIÉN TIENE LA PREFERENCIA, UNA EXCAVADORA QUE VIENE POR LA IZQUIERDA O UNA EXCAVADORA QUE VIENE POR LA DERECHA?",LA QUE LLEGUE PRIMERO,LA EXCAVADORA QUE VIENE POR LA IZQUIERDA,LA EXCAVADORA QUE VIENE POR LA IDERECHA,NINGUNA,B,REG_INT_TRANS,
alternativa,"EN UN TRACTONEUMÁTICO (WHEELDOZER O PATO), ¿QUÉ LADO PRIVILEGIARÍA PARA ESTACIONAR SU VEHÍCULO, IZQUIERDA, DERECHA, ADELANTE O ATRÁS?",ADELANTE O ATRÁS,IZQUIERDA O DERECHA,ATRÁS,NINGUNA DE LAS ANTERIORES,B,REG_INT_TRANS,
alternativa,"EN UNA MOTONIVELADORA, QUÉ LADO PRIVILEGIARÍA PARA ESTACIONAR SU VEHÍCULO, IZQUIERDA, DERECHA, ¿ADELANTE O ATRÁS?",ADELANTE O ATRÁS,IZQUIERDA O DERECHA,ATRÁS,NINGUNA DE LAS ANTERIORES,B,REG_INT_TRANS,
alternativa,FRECUENCIA RADIAL DEL SECTOR DEL PRIMER CEDA EL PASO?,ALTO ROSARIO,BAJO ROSARIO,ROSARIO SUR,OP ICV,B,EPF,
alternativa,"PARA ESTACIONAR A LOS COSTADOS DE UN CARGADOR FRONTAL CATERPILLAR 988-K, ¿CON QUÉ SE DEBE CONTAR?",DEBO CONTAR SIEMPRE CON UNA DISTANCIA MÍNIMA DE 10 MTS A AMBOS COSTADOS,DEBO CONTAR SIEMPRE CON UNA DISTANCIA MÍNIMA DE 5 MTS A AMBOS COSTADOS,DEBO CONTAR SIEMPRE CON UNA DISTANCIA MÍNIMA DE 20 MTS A AMBOS COSTADOS,DEBO CONTAR SIEMPRE CON UNA DISTANCIA MÍNIMA DE 15 MTS A AMBOS COSTADOS,B,REG_INT_TRANS,
alternativa,PRONÓSTICO DE TORMENTAS ELÉCTRICAS,"ALERTA 2 NARANJA, INVIERNO ALTIPLÁNICO","ALERTA 2 AMARILLA, INVIERNO ALTIPLÁNICO","ALERTA 2 NARANJA, INVIERNO CONTINENTAL","ALERTA 2 AMARILLA, INVIERNO CONTINENTAL",B,OP_INV,
alternativa,SE PROHIBE DETENERSE Y/O ESTACIONAR EN PIE DE CORTE:,A NO MENOS DE 9 MTS. EN UNA ZONA PROTEGIDA,A NO MENOS DE 6 MTS. EN UNA ZONA PROTEGIDA,A NO MENOS DE 3 MTS. EN UNA ZONA PROTEGIDA,A NO MENOS DE 10 MTS. EN UNA ZONA PROTEGIDA,B,REG_INT_TRANS,
alternativa,"SEGÚN REGLAMENTO DE OPERACIÓN INVIERNO, EN LAS RUTAS INTERNAS DE CMIDIC, ¿HAY QUE UTILIZAR FRECUENCIA?",RUTA POZO,OP INVIERNO,OP ICV,COOR MIN,B,OP_INV,
alternativa,SI SE ENCUENTRA EN UN CRUCE NO REGULADO Y SE APROXIMA UNA CAMIONETA POR LA DERECHA Y OTRA POR LA IZQUIERDA ¿QUIÉN TIENE LA PREFERENCIA?,LA CAMIONETA POR LA DERECHA,LA CAMIONETA POR LA IZQUIERDA,LA PRIMERA QUE LLEGUE,NINGUNA,B,REG_INT_TRANS,
alternativa,"ALGUNAS DE LAS RESPONSABILIDADES DE UN CONDUCTOR AL INGRESAR A LA MINA EN OPERACIÓN INVIERNO SON:
",INFORMARSE DEL NOMBRE DEL JEFE TURNO,INFORMARSE DE LOS CIRCUITOS,INFORMARSE DEL PROCESO DE TRONADURA,NINGUNA DE LAS ANTERIORES,B,OP_INV,
alternativa,EQUIPOS MÓVILES DE SUPERFICIE CORRESPONDE AL EPF...,4,2,6,8,B,EPF,
alternativa,TRABAJO EN ALTURA CORRESPONDE AL EPF...,7,6,5,4,B,EPF,
alternativa,EL PASO A PASO CÓMO INGRESAR AL ÁREA DE CARGUÍO ES:,"A 50 METROS SE LE PIDE AUTORIZACIÓN AL JEFE DE LOS EQUIPOS DE CARGÍO, SE IDENTIFICA EL EQUIPO Y SE ESPERA. SI EL AREA NO CUENTA CON PASACABLES, TIENE PASACABLES A MENOS DE 50 METROS O CUENTA CON PASACABLES A 50 METROS, SE DEBE PEDIR AUTORIZACIÓN A 50 METROS. SI EL AREA CUENTA CON PASACABLES A 250 METROS, SE PIDE AUTORIZACIÓN A LOS 250 METROS.","A 50 METROS SE LE PIDE AUTORIZACIÓN AL OPERADOR DEL EQUIPO DE CARGÍIO, SE IDENTIFICA EL EQUIPO Y SE ESPERA CONFIRMACIÓN RADIAL. SI EL AREA NO CUENTA CON PASACABLES, TIENE PASACABLES A MENOS DE 50 METROS O CUENTA CON PASACABLES A 50 METROS, SE DEBE PEDIR AUTORIZACIÓN A 50 METROS. SI EL AREA CUENTA CON PASACABLES A 250 METROS, SE PIDE AUTORIZACIÓN A LOS 250 METROS.","A 50 METROS SE LE PIDE AUTORIZACIÓN AL OPERADOR DEL EQUIPO DE CARGÍIO, SE IDENTIFICA EL EQUIPO Y SE ESPERA CONFIRMACIÓN RADIAL. SI EL AREA NO CUENTA CON PASACABLES, TIENE PASACABLES A MENOS DE 50 METROS O CUENTA CON PASACABLES A 50 METROS, SE DEBE PEDIR AUTORIZACIÓN A 50 METROS. SI EL AREA CUENTA CON AÉREOS A 250 METROS, SE PIDE AUTORIZACIÓN A LOS 250 METROS.","A 50 METROS SE LE PIDE AUTORIZACIÓN AL OPERADOR DEL EQUIPO DE CARGÍIO, SE ESPERA CONFIRMACIÓN RADIAL. SI EL AREA NO CUENTA CON PASACABLES, TIENE PASACABLES A MENOS DE 50 METROS O CUENTA CON PASACABLES A 50 METROS, SE DEBE PEDIR AUTORIZACIÓN A 50 METROS. SI EL AREA CUENTA CON PASACABLES A 250 METROS, SE PIDE AUTORIZACIÓN A LOS 250 METROS.",B,REG_INT_TRANS,
alternativa,¿A CUÁNTO SE DEBE ESTACIONAR AL BORDE DE UN BANCO?,A 8 MTS,A 7 MTS,MÍNIMO A 10 MTS,A 5 MTS,C,REG_INT_TRANS,
alternativa,¿A CUÁNTO SE PUEDE ESTACIONAR A LA IZQUIERDA DE UN CAEX ?,30 MTS CON PÉRTIGA Y BALIZA A LA ALTURA DE LA CABINA DEL OPERADOR,A 8 MTS,7 MTS,A 10 MTS,C,REG_INT_TRANS,
alternativa,¿A CUÁNTOS METROS DE DISTANCIA PUEDO ESTACIONARME AL LADO DE UNA EXCAVADORA Y CUÁL ES EL LADO MENOS INDICADO?,A 8 MTS DE DISTANCIA Y EL LADO MENOS INDICADO ES AL FRENTE,A 10 MTS DE DISTANCIA Y EL LADO MENOS INDICADO ES EL IZQUIERDO,A 10 MTS DE DISTANCIA Y EL LADO MENOS INDICADO ES EL DERECHO,A 50 MTS DE DISTANCIA Y EL LADO MENOS INDICADO ES ATRAS,C,REG_INT_TRANS,
alternativa,¿A QUÉ DISTANCIA SE PUEDE ESTACIONAR UN VEHÍCULO A LA IZQUIERDA DE UN CARGADOR FRONTAL CATERPILLAR 988 K?,30 MTS CON PÉRTIGA VISIBLE,A 7 MTS,A 5 MTS,A 10 MTS,C,REG_INT_TRANS,
alternativa,¿CÓMO ESTACIONAR AL LADO IZQUIERDO Y DERECHO DE UN CAMIÓN REGADOR?,A 5 MTS DE DISTANCIA POR LA IZQUIERDA Y A 5 MTS DE DISTANCIA POR LA DERECHA,A 20 MTS DE DISTANCIA POR LA IZQUIERDA Y A 5 MTS DE DISTANCIA POR LA DERECHA,A 5 MTS DE DISTANCIA POR LA IZQUIERDA Y A 20 MTS DE DISTANCIA POR LA DERECHA,A 7 MTS DE DISTANCIA POR LA IZQUIERDA Y A 30 MTS DE DISTANCIA POR LA DERECHA,C,REG_INT_TRANS,
alternativa,¿CON QUÉ DEBE CONTAR UNA CAMIONETA PARA EL INVIERNO CONTINENTAL?,"CAJA DE INVIERNO CON CADENAS ROMPEHIELO, ESTANQUE LLENO, CERTIFICACIÓN OPERACIÓN INVIERNO, NEUMÁTICOS DE REPUESTO, RADIO FIJA Y MÓVIL","CAJA DE INVIERNO CON CADENAS ROMPEHIELO, ESTANQUE LLENO, FRECUENCIA OPERACIÓN INVIERNO, NEUMÁTICOS EN BUEN ESTADO, RADIO FIJA Y MÓVIL","CAJA DE INVIERNO CON CADENAS ROMPEHIELO, ESTANQUE LLENO, CERTIFICACIÓN OPERACIÓN INVIERNO, NEUMÁTICOS EN BUEN ESTADO, RADIO FIJA Y MÓVIL","CAJA DE INVIERNO CON CADENAS ANTIESTÁTICAS, ESTANQUE LLENO, CERTIFICACIÓN OPERACIÓN INVIERNO, NEUMÁTICOS EN BUEN ESTADO, RADIO FIJA Y MÓVIL",C,OP_INV,
alternativa,¿CUÁL ES EL ÁREA DE CARGUÍO? (SEGÚN ORREGO).,"SON LOS 50 MTS ALREDEDOR DEL EQUIPO DE CARGUÍO, SI NO HAY PASACABLES O EL PASACABLES ESTÁ A MENOS DE 50 MTS DEL EQUIPO DE CARGUÍO, SE RESPETAN LOS 50 MTS, SI EL AÉREO ESTA A 50 MTS O MÁS, EL ÁREA COMIENZA FUERA DEL PASACABLES","SON LOS 50 MTS ALREDEDOR DEL EQUIPO DE CARGUÍO, SI NO HAY PASACABLES O EL PASACABLES ESTÁ A MAS DE 50 MTS DEL EQUIPO DE CARGUÍO, SE RESPETAN LOS 50 MTS, SI EL PASACABLES ESTA A 50 MTS O MÁS, EL ÁREA COMIENZA FUERA DEL PASACABLES","SON LOS 50 MTS ALREDEDOR DEL EQUIPO DE CARGUÍO, SI NO HAY PASACABLES O EL PASACABLES ESTÁ A MENOS DE 50 MTS DEL EQUIPO DE CARGUÍO, SE RESPETAN LOS 50 MTS, SI EL PASACABLES ESTA A 50 MTS O MÁS, EL ÁREA COMIENZA FUERA DEL PASACABLES","SON LOS 50 MTS ALREDEDOR DEL EQUIPO DE CARGUÍO, SI HAY PASACABLES O EL PASACABLES ESTÁ A MENOS DE 50 MTS DEL EQUIPO DE CARGUÍO, SE RESPETAN LOS 50 MTS, SI EL PASACABLES ESTA A 50 MTS O MÁS, EL ÁREA COMIENZA FUERA DEL PASACABLES",C,REG_CARGIO,
alternativa,¿CUÁL ES EL LADO MÁS SEGURO PARA ESTACIONARSE CERCA DE UNA RETROEXCAVADORA?,EN AMBOS COSTADOS A 20 MTS DE DISTANCIA,EN AMBOS COSTADOS A 10 MTS DE DISTANCIA,EN AMBOS COSTADOS A 5 MTS DE DISTANCIA,EN AMBOS COSTADOS A 8 MTS DE DISTANCIA.,C,REG_INT_TRANS,
alternativa,¿CUAL ES EL REQUISITO PARA OPTAR A LICENCIA INTERNA MINA EN CUANTO A AÑOS DE ANTIGUEDAD CON LA LICENCIA MUNICIPAL (CLASE B)?,1 AÑO,3 AÑOS,2 AÑOS,4 AÑOS,C,REG_INT_TRANS,
alternativa,¿CUÁL ES LA FRECUENCIA DE LA P2?,OPICV,ROSARIO SUR,BAJO ROSARIO,ALTO ROSARIO,C,EPF,
alternativa,¿CUÁL ES LA VELOCIDAD MÁXIMA CON LA CUAL SE INGRESA A UN BOTADERO O STOCK?,A 20 KM/HR,A 15 KM/HR,A 10 KM/HR,A 5 KM/HR,C,REG_CARGIO,
alternativa,"¿CUÁNDO SE ENCUENTRA CONDUCIENDO, EN QUÉ ETAPA DEL CICLO DE GESTIÓN DE RIESGOS SE UBICA?",APRENDIZAJE,VERIFICACIÓN,EJECUCIÓN,PLANIFICACIÓN,C,CGR,
alternativa,¿CUÁNTO MIDE EL PRETIL DE SEGURIDAD?,3 METROS,"2,5 METROS",2/3 DE LA ALTURA DEL NEUMÁTICO DEL CAEX,MÁS DE 2 METROS,C,REG_CARGIO,
alternativa,¿DESCRIBA CON QUÉ SE DEBE CUMPLIR PARA ESTACIONARSE AL LADO DERECHO DE UNA EXCAVADORA?,"SE DEBE ESTACIONAR A 10 MTS DE DISTANCIA Y CUANDO NO SEA POSIBLE ESTACIONAR PRIMERO ADELANTE, ATRÁS O A LA IZQUIERDA DE LA EXCAVADORA","SE DEBE ESTACIONAR A 5 MTS DE DISTANCIA Y CUANDO NO SEA POSIBLE ESTACIONAR PRIMERO ADELANTE, ATRÁS O A LA IZQUIERDA DE LA EXCAVADORA","SE DEBE ESTACIONAR A 10 MTS DE DISTANCIA Y CUANDO NO SEA POSIBLE ESTACIONAR PRIMERO A LA IZQUIERDA, ADELANTE O ATRÁS DE LA EXCAVADORA","SE DEBE ESTACIONAR A 5 MTS DE DISTANCIA Y CUANDO NO SEA POSIBLE ESTACIONAR PRIMERO A LA IZQUIERDA, ADELANTE O ATRÁS DE LA EXCAVADORA",C,REG_INT_TRANS,
alternativa,¿DÓNDE Y A QUIÉN SE LE SOLICITA AUTORIZACIÓN PARA INGRESAR A UN BOTADERO O STOCK?,ANTES DE INGRESAR A LA RAMPA DEL BOTADERO O STOCK Y SE LE PIDE AUTORIZACIÓN RADIAL AL OPERADOR DEL EQUIPO DE APOYO,ANTES DE INGRESAR A LA CURVA DEL BOTADERO O STOCK Y SE LE PIDE AUTORIZACIÓN RADIAL AL OPERADOR DEL EQUIPO DE APOYO,ANTES DE INGRESAR AL BOTADERO O STOCK Y SE LE PIDE AUTORIZACIÓN RADIAL AL OPERADOR DEL EQUIPO DE APOYO,ANTES DE LLEGAR AL EQUIPO DE APOYO DEL BOTADERO O STOCK Y SE LE PIDE AUTORIZACIÓN RADIAL AL OPERADOR DEL EQUIPO DE APOYO,C,REG_CARGIO,
alternativa,¿EN QUÉ ALERTA SE CONFIRMAN CONDICIONES ADVERSAS PERSISTENTES?,EN ALERTA 3 DEL INVIERNO ALTIPLÁNICO,EN ALERTA 4 DEL INVIERNO ALTIPLÁNICO,EN ALERTA 3 DEL INVIERNO CONTINENTAL,EN ALERTA 4 DEL INVIERNO CONTINENTAL,C,OP_INV,
alternativa,¿FRECUENCIA DEL BOTADERO ROSARIO SUR?,ALTO ROSARIO,BAJO ROSARIO,ROSARIO SUR,OPICV,C,EPF,
alternativa,¿OBJETIVOS DEL REGLAMENTO DE CARGUÍO Y TRANSPORTE? ,"ESTABLECER LAS NORMAS QUE DEBEN CUMPLIR TODAS LAS PERSONAS QUE CONDUZCAN U OPEREN VEHÍCULOS Y/O MAQUINARIAS, PEATONES, PASAJEROS QUE TRANSITEN AL EXTERIOR DE LOS RAJOS MINAS CMIDIC, PARA PREVENIR Y CONTROLAR LOS RIESGOS DE LA OPERACIÓN","ESTABLECER LAS NORMAS QUE DEBEN CUMPLIR TODAS LAS PERSONAS QUE CONDUZCAN U OPEREN VEHÍCULOS Y/O MAQUINARIAS, PEATONES, PASAJEROS QUE TRANSITEN AL INTERIOR DE FAENA CMIDIC, PARA PREVENIR Y CONTROLAR LOS RIESGOS DE LA OPERACIÓN","ESTABLECER LAS NORMAS QUE DEBEN CUMPLIR TODAS LAS PERSONAS QUE CONDUZCAN U OPEREN VEHÍCULOS Y/O MAQUINARIAS, PEATONES, PASAJEROS QUE TRANSITEN AL INTERIOR DE LOS RAJOS MINAS CMIDIC, PARA PREVENIR Y CONTROLAR LOS RIESGOS DE LA OPERACIÓN","ESTABLECER LAS NORMAS QUE DEBEN CUMPLIR TODAS LAS PERSONAS QUE CONDUZCAN U OPEREN VEHÍCULOS Y/O MAQUINARIAS, PEATONES, PASAJEROS QUE TRANSITEN AL INTERIOR DE CMIDIC, PARA PREVENIR Y CONTROLAR LOS RIESGOS DE LA OPERACIÓN",C,REG_CARGIO,
alternativa,"¿PARA ESTACIONARSE AL LADO IZQUIERDO O DERECHO DE UNA MOTONIVELADORA, CON QUÉ SE DEBE CUMPLIR?",SE DEBE ESTACIONAR A 7 MTS DE DISTANCIA,SE DEBE ESTACIONAR A 20 MTS DE DISTANCIA,SE DEBE ESTACIONAR A 5 MTS DE DISTANCIA,SE DEBE ESTACIONAR A 10 MTS DE DISTANCIA,C,REG_INT_TRANS,
alternativa,"¿PARA INGRESAR A UN BOTADERO SIN EQUIPO DE APOYO, A QUIÉN SE LE DEBE PEDIR AUTORIZACIÓN?",AL SUPERVISOR,AL JEFE TURNO MINA,AL JEFE DE EQUIPOS DE APOYO DE TURNO,A DESPACHO,C,REG_INT_TRANS,
alternativa,¿PARA QUÉ TIPO DE INCENDIO ES UN EXTINTOR CLASE A?,MULTIPROPÓSITO,PARA FUEGOS DE ORIGEN ELÉCTRICO,"PARA FUEGOS CON COMBUSTIBLES SÓLIDOS COMO ROPA, CARTÓN, PAPEL, PLÁSTICO, MADERA",PARA FUEGOS CON COMBUSTIBLES LÍQUIDOS COMO GASOLINA Y PINTURA,C,EXTINTORES,
alternativa,¿PORQUÉ RAZÓN SE ESTACIONA AL LADO PREFERENTE DE UN EQUIPO?,POR NORMATIVA,POR DEFERENCIA AL CONDUCTOR DEL EQUIPO,POR SEGURIDAD,NINGUNA DE LAS ANTERIORES,C,REG_INT_TRANS,
alternativa,¿QUÉ INDICAN LAS SIGLAS AP EN LA PANTALLA ALFANUMÉRICA DE UN CAEX?,AYUDA EN PANNE,AUXILIAR EN PARKING,ALUMNO EN PRÁCTICA,ASISTENCIA PRONTO,C,REG_INT_TRANS,
alternativa,¿QUÉ RESTRICCIÓN TIENE UNA CAMIONETA EN ALERTA 1?,DEBE TENER CERTIFICACIÓN OP INVIERNO,DEBE TENER CERTIFICACIÓN DE CADENAS,DEBE TENER CERTIFICACIÓN PUKARA,NINGUNA DE LAS ANTERIORES,C,OP_INV,
alternativa,¿QUÉ VEHÍCULO PUEDE SERVIR DE ESCOLTA Y CON QUÉ DEBE CUMPLIR?,"CAMIONETA Y DEBE CONTAR CON BALIZA, LUCES DE EMERGENCIA ENCENDIDAS, LETRERO ESCOLTA Y COMUNICACIÓN CON LOS VEHÍCULOS ESCOLTADOS","CAMIONETA Y DEBE CONTAR CON PÉRTIGA, BALIZA, LUCES DE EMERGENCIA ENCENDIDAS, LETRERO Y RADIOCOMUNICACIÓN CON LOS VEHÍCULOS ESCOLTADOS","CAMIONETA Y DEBE CONTAR CON PÉRTIGA, BALIZA, LUCES DE EMERGENCIA ENCENDIDAS, LETRERO ESCOLTA Y RADIOCOMUNICACIÓN CON LOS VEHÍCULOS ESCOLTADOS","CAMIONETA Y DEBE CONTAR CON PÉRTIGA, BALIZA, LUCES ENCENDIDAS, LETRERO ESCOLTA Y RADIOCOMUNICACIÓN CON LOS VEHÍCULOS ESCOLTADOS",C,REG_INT_TRANS,
alternativa,¿QUIÉN DETERMINA LA POSTURA DE CADENAS EN MAL TIEMPO?,LA GERENCIA DE CADA ÁREA,EL JEFE TURNO MINA,EL COI,CENTRAL COLLAHUASI,C,OP_INV,
alternativa,¿QUIÉN PUEDE MODIFICAR LAS FECHAS DE LOS INVIERNOS ALTIPLÁNICO Y CONTINENTAL?,LA GERENCIA DE CADA ÁREA,EL JEFE TURNO MINA,EL COI,CENTRAL COLLAHUASI,C,OP_INV,
alternativa,¿QUIÉN TIENE LA PREFERENCIA DE EQUIPOS Y VEHÍCULOS EN CRUCES NO REGULADOS? (REGLAMENTO CARGUÍO Y TRANSPORTE).,CAEX VACÍO,CAMIONETAS,CAEX CARGADO,EXCAVADORA,C,REG_CARGIO,
alternativa,"¿SI SE VA A ESTACIONAR ALREDEDOR DE UN RODILLO COMPACTADOR, QUÉ LADO ELIGIRÍA COMO ÚLTIMA OPCIÓN?",A LA IZQUIERDA,A LA DERECHA,ADELANTE Y ATRÁS,A AMBOS COSTADOS,C,REG_INT_TRANS,
alternativa,"¿SI UNA PALA VA EN TRASLADO EN EL CIRCUITO MINA, A QUIÉN SE LE SOLICITA AUTORIZACIÓN PARA ADELANTARLA Y EN QUÉ FRECUENCIA?",AL JEFE TURNO MINA Y EN FRECUENCIA DESPACHO,AL OPERADOR DE LA PALA Y EN LA FRECUENCIA SEGÚN DONDE SE ENCUENTRE,AL ESCOLTA DE PERSONAL ELÉCTRICO Y EN FRECUENCIA ALTA TENSIÓN,CUALQUIERA DE LAS ANTERIORES,C,EPF,
alternativa,CONDICIONES METEOROLÓGICAS ADVERSAS EN FAENA CORDILLERA,"ALERTA 3 NARANJA, INVIERNO ALTIPLÁNICO","ALERTA 3 AMARILLA, INVIERNO ALTIPLÁNICO","ALERTA 3 NARANJA, INVIERNO CONTINENTAL","ALERTA 3 AMARILLA, INVIERNO CONTINENTAL",C,OP_INV,
alternativa,CONDICIONES METEOROLÓGICAS CRÍTICAS EN FAENA CORDILLERA,"ALERTA 3 NARANJA, INVIERNO CONTINENTAL","ALERTA 4 ROJA, INVIERNO ALTIPLÁNICO","ALERTA 4 ROJA, INVIERNO CONTINENTAL","ALERTA 3 NARANJA, INVIERNO ALTIPLÁNICO",C,OP_INV,
alternativa,"CONDUCIR EN LA MINA SIN LICENCIA INTERNA O MUNICIPAL, ES UNA INFRACCIÓN?","MUY GRAVE SEGÚN EL INSTRUCTIVO DE ACREDITACIÓN DE LICENCIA INTERNA ROJA, GRAVÍSIMA SEGÚN EL REGLAMENTO INTERNO DE TRÁNSITO 2023","LEVE SEGÚN EL INSTRUCTIVO DE ACREDITACIÓN DE LICENCIA INTERNA ROJA, GRAVÍSIMA SEGÚN EL REGLAMENTO INTERNO DE TRÁNSITO 2023","GRAVE SEGÚN EL INSTRUCTIVO DE ACREDITACIÓN DE LICENCIA INTERNA ROJA, GRAVÍSIMA SEGÚN EL REGLAMENTO INTERNO DE TRÁNSITO 2023","GRAVÍSIMA SEGÚN EL INSTRUCTIVO DE ACREDITACIÓN DE LICENCIA INTERNA ROJA, GRAVÍSIMA SEGÚN EL REGLAMENTO INTERNO DE TRÁNSITO 2023",C,REG_INT_TRANS,
alternativa,DEL 15 DE MAYO AL 30 DE SEPTIEMBRE,"ALERTA 1 AZUL, INVIERNO ALTIPLÁNICO","ALERTA 2 AMARILLA, INVIERNO CONTINENTAL","ALERTA 1 AZUL, INVIERNO CONTINENTAL","ALERTA 2 AMARILLA, INVIERNO ALTIPLÁNICO",C,OP_INV,
alternativa,"EL EQUIPAMIENTO DE VEHÍCULOS LIVIANOS Y NO LIVIANOS EN PERÍODO INVERNAL, ESPECÍFICAMENTE LA CAJA DE INVIERNO DEBE CONTAR, ENTRE OTROS, CON:",GATA Y LLAVES,GUANTES Y TRIANGULOS,GUANTES Y SACO ARPILLERO,ALICATE Y CHECK POINT,C,OP_INV,
alternativa,"EL PERÍODO DE INVIERNO CONTINENTAL SE ESTABLECE DESDE EL 15 DE MAYO AL 30 DE SEPTIEMBRE, ¿QUÉ OTRAS FECHAS PUEDEN SER INSTAURADAS?",LAS QUE SEAN DEFINIDAS POR CENTRAL COLLAHUASI,LAS QUE SEAN DEFINIDAS POR EL JEFE TURNO MINA,LAS QUE SEAN DEFINIDAS POR EL COI,LAS QUE SEAN DEFINIDAS POR LA GERENCIA DE CADA ÁREA,C,OP_INV,
